
Histogram of unique 21-mers of sanger_newton_drMalDome6.R1

  Input: 5,040,376,329 unique 21-mers

     Freq:        Count   Cum. %
      308:       115425     0.4%
      307:       119131     0.4%
      306:       122241     0.5%
      305:       124586     0.5%
      304:       129532     0.5%
      303:       132638     0.5%
      302:       136372     0.5%
      301:       140811     0.5%
      300:       144278     0.5%
      299:       149419     0.5%
      298:       153961     0.5%
      297:       158545     0.5%
      296:       162906     0.5%
      295:       167681     0.5%
      294:       173070     0.5%
      293:       177244     0.5%
      292:       181946     0.5%
      291:       187037     0.5%
      290:       191706     0.5%
      289:       196487     0.5%
      288:       201232     0.5%
      287:       206575     0.5%
      286:       211811     0.5%
      285:       216103     0.5%
      284:       221850     0.5%
      283:       226954     0.5%
      282:       231086     0.5%
      281:       236845     0.5%
      280:       240002     0.5%
      279:       244004     0.5%
      278:       248796     0.6%
      277:       251589     0.6%
      276:       254672     0.6%
      275:       258470     0.6%
      274:       261344     0.6%
      273:       263349     0.6%
      272:       265906     0.6%
      271:       268397     0.6%
      270:       269895     0.6%
      269:       273651     0.6%
      268:       273682     0.6%
      267:       274689     0.6%
      266:       275212     0.6%
      265:       275226     0.6%
      264:       274366     0.6%
      263:       275157     0.6%
      262:       274469     0.6%
      261:       273113     0.6%
      260:       273101     0.7%
      259:       270413     0.7%
      258:       269857     0.7%
      257:       268043     0.7%
      256:       267844     0.7%
      255:       265418     0.7%
      254:       263421     0.7%
      253:       261443     0.7%
      252:       258495     0.7%
      251:       256842     0.7%
      250:       254113     0.7%
      249:       252228     0.7%
      248:       249659     0.7%
      247:       248624     0.7%
      246:       246859     0.7%
      245:       244625     0.7%
      244:       242659     0.7%
      243:       241725     0.7%
      242:       240041     0.7%
      241:       239252     0.7%
      240:       236175     0.8%
      239:       234931     0.8%
      238:       234192     0.8%
      237:       234562     0.8%
      236:       232327     0.8%
      235:       232414     0.8%
      234:       231361     0.8%
      233:       230650     0.8%
      232:       231036     0.8%
      231:       228859     0.8%
      230:       228995     0.8%
      229:       228866     0.8%
      228:       228026     0.8%
      227:       228896     0.8%
      226:       226817     0.8%
      225:       225938     0.8%
      224:       226500     0.8%
      223:       226095     0.8%
      222:       224424     0.8%
      221:       223756     0.8%
      220:       223301     0.8%
      219:       222675     0.8%
      218:       221957     0.9%
      217:       222588     0.9%
      216:       221838     0.9%
      215:       220644     0.9%
      214:       219070     0.9%
      213:       219035     0.9%
      212:       217612     0.9%
      211:       216940     0.9%
      210:       216108     0.9%
      209:       215679     0.9%
      208:       214646     0.9%
      207:       214318     0.9%
      206:       214897     0.9%
      205:       215873     0.9%
      204:       215652     0.9%
      203:       217322     0.9%
      202:       217832     0.9%
      201:       218555     0.9%
      200:       220815     0.9%
      199:       222066     0.9%
      198:       225377     0.9%
      197:       228242     0.9%
      196:       230857     0.9%
      195:       233952     1.0%
      194:       237793     1.0%
      193:       242370     1.0%
      192:       245858     1.0%
      191:       250237     1.0%
      190:       255719     1.0%
      189:       260307     1.0%
      188:       267197     1.0%
      187:       272832     1.0%
      186:       280748     1.0%
      185:       286243     1.0%
      184:       295158     1.0%
      183:       302545     1.0%
      182:       312820     1.0%
